Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g)
Cantina Crispy Chicken Taco - Avocado Ranch,280,13,3.5,0,25,700,26,2,2,13
Cantina Crispy Chicken Taco - Creamy Chipotle,270,13,3.5,0,30,700,26,2,2,13
Cheesy Double Beef Burrito - Classic,620,30,12,0.5,60,"1,440",64,7,4,24
Cheesy Double Beef Burrito - Spicy,620,30,12,0.5,60,"1,600",65,8,5,24
Mango Freeze® (16 oz),160,0,0,0,0,35,41,0,41,0
Mango Freeze® (20 oz),190,0,0,0,0,40,51,0,51,0
Mango Whip Freeze® (16 oz),210,1,0.5,0,<5,40,51,0,49,0
Mango Whip Freeze® (20 oz),250,1,0.5,0,<5,45,62,0,59,0
,,,,,,,,,,
Online Exclusives,,,,,,,,,,
Black Bean Chalupa Supreme® - Online Exclusive,340,18,4,0,10,460,36,6,4,10
Black Bean Quesarito - Online Exclusive,630,30,11,0,35,"1,310",71,7,5,19
Quesarito - Online Exclusive,650,33,13,0.5,50,"1,420",67,5,4,21
,,,,,,,,,,
Tacos,,,,,,,,,,
Chalupa Supreme® - Beef,360,21,6,0,25,570,31,4,4,12
Chalupa Supreme® - Chicken,340,17,4,0,35,580,29,3,4,16
Chalupa Supreme® - Steak,350,18,4.5,0,30,590,30,3,4,15
Cheesy Gordita Crunch,500,28,10,0,50,840,41,5,5,20
Crunchy Taco,170,10,3.5,0,25,300,13,3,<1,8
Crunchy Taco Supreme®,190,11,4.5,0,25,320,15,3,2,8
Nacho Cheese Doritos® Locos Taco,170,9,3.5,0,25,350,13,3,<1,8
Nacho Cheese Doritos® Locos Taco Supreme®,190,11,4.5,0,25,360,15,3,2,8
Soft Taco - Beef,180,9,4,0,25,500,18,3,1,9
Soft Taco - Chicken,160,5,2.5,0,30,510,16,1,1,12
Soft Taco Supreme® - Beef,210,10,5,0,25,510,20,3,2,9
Soft Taco Supreme® - Chicken,190,7,3.5,0,35,520,18,2,2,13
,,,,,,,,,,
Burritos,,,,,,,,,,
Bean Burrito (V),350,9,4,0,5,"1,040",55,10,3,13
Beefy 5-Layer Burrito,490,18,7,0,25,"1,260",65,8,5,18
Burrito Supreme® - Beef,400,14,6,0,25,"1,130",51,8,4,16
Burrito Supreme® - Chicken,370,11,5,0,35,"1,150",49,7,4,19
Burrito Supreme® - Steak,380,12,6,0,30,"1,160",50,7,5,19
Chili Cheese Burrito (regional),380,17,9,0,35,980,41,4,2,16
Quesarito - Beef,650,33,13,0.5,50,"1,420",67,5,4,21
Quesarito - Chicken,630,30,11,0,60,"1,430",65,4,4,25
Quesarito - Steak,630,31,12,0,55,"1,440",65,4,5,24
,,,,,,,,,,
Nachos,,,,,,,,,,
Chips and Nacho Cheese Sauce (V),220,13,1.5,0,0,280,24,2,1,3
Nachos BellGrande® - Beef,730,38,6,0,25,"1,130",81,15,4,17
Nachos BellGrande® - Chicken,710,35,5,0,30,"1,140",79,14,4,20
Nachos BellGrande® - Steak,720,36,5,0,25,"1,150",79,14,5,20
,,,,,,,,,,
Quesadillas,,,,,,,,,,
Beef Quesarito,650,33,13,0.5,50,"1,420",67,5,4,21
Black Bean Quesarito (V),630,30,11,0,35,"1,310",71,7,5,19
Quesadilla - Cheese (V),470,24,13,0,50,"1,000",41,3,3,18
Quesadilla - Chicken,520,26,13,0,75,"1,260",41,3,3,26
Quesadilla - Steak,520,27,14,0,70,"1,270",42,3,4,26
,,,,,,,,,,
Specialties,,,,,,,,,,
Black Bean Chalupa Supreme® - Specialties,340,18,4,0,10,460,36,6,4,10
Black Bean Crunchwrap Supreme® - Specialties,520,18,5,0,5,"1,100",77,7,6,13
Black Bean Quesarito - Specialties,630,30,11,0,35,"1,310",71,7,5,19
Chalupa Supreme® - Specialties,360,21,6,0,25,570,31,4,4,12
Cheesy Fiesta Potatoes - Specialties,240,13,2,0,<5,520,28,3,1,3
Cheesy Gordita Crunch - Specialties,500,28,10,0,50,840,41,5,5,20
Cheesy Roll Up - Specialties,180,9,6,0,20,430,17,1,1,8
Crunchwrap Supreme® - Specialties,540,21,7,0,20,"1,210",73,6,6,15
Crunchy Taco - Specialties,170,10,3.5,0,25,300,13,3,<1,8
Mexican Pizza - Specialties,540,29,8,0,40,940,49,10,3,19
Mexican Pizza - Veggie - Specialties,470,25,6,0,20,690,46,8,3,14
Nacho Cheese Doritos® Locos Taco - Specialties,170,9,3.5,0,25,350,13,3,<1,8
Nachos BellGrande® - Specialties,730,38,6,0,25,"1,130",81,15,4,17
Power Menu Bowl - Specialties,460,21,6,0,70,"1,250",41,8,3,27
Quesadilla - Specialties,520,26,13,0,75,"1,260",41,3,3,26
Quesarito - Specialties,650,33,13,0.5,50,"1,420",67,5,4,21
Soft Taco - Specialties,180,9,4,0,25,500,18,3,1,9
Soft Taco Supreme - Specialties,210,10,5,0,25,510,20,3,2,9
Veggie Power Menu Bowl - Specialties,420,20,6,0,20,870,47,10,3,13
,,,,,,,,,,
Sides & Sweets,,,,,,,,,,
Black Beans & Rice (V),160,4.5,0,0,0,370,25,4,<1,4
Black Beans (V),50,1.5,0,0,0,140,7,3,<1,3
Cheesy Fiesta Potatoes (V),240,13,2,0,<5,520,28,3,1,3
Cinnabon® Delights™ (2 Pk) (V),160,9,2,0,5,80,17,0,10,2
Cinnabon® Delights™ (12 Pk - Serves 4) (V),930,53,13,2,40,480,104,3,59,9
Cinnamon Twists (V),170,6,0.5,0,0,115,27,<1,10,1
Diablo Sauce Packet (V),0,0,0,0,0,30,0,0,0,0
Fire Sauce Packet (V),0,0,0,0,0,55,0,0,0,0
