Item,Calories,Calories from Fat,Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Carbohydrates,Fiber,Sugar,Protein,Vitamin A,Vitamin C,Calcium,Iron
Beverages Nutrition Facts,,,,,,,,,,,,,,,
"All Natural Lemonade, Small Cup",190,,0,0,0,0,5,49,0,46,0,,,,
"Barqs Root Beer, Small Cup",180,,0,0,0,0,40,50,0,50,0,,,,
Brewed Sweetened Iced Tea,110,,0,0,0,0,10,29,0,28,0,,,,
Brewed Unsweetened Iced Tea,5,,0,0,0,0,10,1,0,0,0,,,,
"Coca-Cola, Small Cup",160,,0,0,0,0,0,44,0,44,0,,,,
Coke Zero Small Cup,0,,0,0,0,0,5,0,0,0,0,,,,
"Diet Coke, Small Cup",0,,0,0,0,0,15,0,0,0,0,,,,
"Dr Pepper, Small Cup",160,,0,0,0,0,40,43,0,43,0,,,,
"Fanta Orange, Small Cup",180,,0,0,0,0,25,49,0,49,0,,,,
"Hi-C Flashin Fruit Punch, Small Cup",170,,0,0,0,0,15,46,0,46,0,,,,
Juicy Juice Apple Juice,90,,0,0,0,0,5,22,0,20,0,,,,
"Minute Maid Light Lemonade, Small Cup",5,,0,0,0,0,5,1,0,0,0,,,,
Nestle Pure Life Bottled Water,0,,0,0,0,0,0,0,0,0,0,,,,
"Pibb Xtra, Small Cup",160,,0,0,0,0,25,43,0,43,0,,,,
"Sprite, Small Cup",160,,0,0,0,0,35,43,0,43,0,,,,
Strawberry Iced Tea,50,,0,0,0,0,10,13,0,12,0,,,,
Strawberry Lemonade,200,,0,0,0,0,0,51,0,48,0,,,,
TruMoo Lowfat Chocolate Milk,140,,3,2,0,10,170,22,0,20,7,,,,
TruMoo Lowfat White Milk,100,,3,2,0,10,125,12,0,11,8,,,,
,,,,,,,,,,,,,,,
Breakfast Nutrition Facts,,,,,,,,,,,,,,,
Artisan Egg Sandwich with All- Natural Sausage,500,,33,13,0.5,275,860,31,1,4,22,,,,
Artisan Egg Sandwich with Applewood Smoked Bacon,360,,18,8,0,255,780,30,1,4,19,,,,
Artisan Sandwich with Egg & Cheese,290,,13,6,0,235,530,29,1,4,15,,,,
Fresh-Baked Biscuit with All- Natural Sausage,570,,37,18,0,270,1390,38,2,5,21,,,,
Fresh-Baked Biscuit with Applewood Smoked Bacon,410,,21,12,0,240,1220,36,2,4,17,,,,
Fresh-Baked Biscuit with Egg & Cheese,360,,18,11,0,230,1060,36,2,4,14,,,,
Honey Butter Chicken Biscuit,510,,25,11,0,55,1400,52,2,9,21,,,,
Mornin' Melt Panini with All- Natural Sausage,650,,47,22,1,310,900,34,1,3,32,,,,
Mornin' Melt Panini with Egg & Cheese,450,,27,15,1,270,560,33,1,3,25,,,,
Mornin' Melt Panini with Applewood Smoked Bacon,520,,32,17,1,285,810,33,1,3,30,,,,
"Orange Juice, Small",130,,0,0,0,0,0,31,1,23,2,,,,
Sausage & Egg Burrito,270,,20,7,0,210,640,12,1,1,12,,,,
Sausage Biscuit,460,,29,14,0,50,1110,37,2,4,13,,,,
